Key,Summary,Description,Type,Priority,Component,Test Mode
VWO-00001,Verify User Consent : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that User Consent functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to User Consent section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-8564
Story Points: 6
Estimate: 5 hours
",Performance,Major,Integrations,Automated
VWO-00002,Verify Dashboard : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that Dashboard functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Dashboard section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-5262
Story Points: 7
Estimate: 2 hours
",Functional,Major,Analytics,Automated
VWO-00003,Verify Login : User is correctly calculates statistical significance,"
Description:
As a VWO user
I want to verify that Login functionality works correctly
So that I can correctly calculates statistical significance

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Login section
2. Perform action: correctly calculates statistical significance
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-7828
Story Points: 5
Estimate: 5 hours
",Functional,Trivial,Analytics,Automated
VWO-00004,Verify JavaScript Editor : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that JavaScript Editor functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to JavaScript Editor section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-2071
Story Points: 6
Estimate: 8 hours
",Functional,Major,Mobile,Manual
VWO-00005,Verify User Segmentation : User is able to configure notifications,"
Description:
As a VWO user
I want to verify that User Segmentation functionality works correctly
So that I can able to configure notifications

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to User Segmentation section
2. Perform action: able to configure notifications
3. Verify the result

Expected Result: Team member receives invitation

Related Jira: VWO-5189
Story Points: 11
Estimate: 4 hours
",Non-Functional,Critical,Dashboard,Automated
VWO-00006,Verify Cookie Targeting : User is able to configure notifications,"
Description:
As a VWO user
I want to verify that Cookie Targeting functionality works correctly
So that I can able to configure notifications

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Cookie Targeting section
2. Perform action: able to configure notifications
3. Verify the result

Expected Result: Variation is displayed correctly

Related Jira: VWO-7359
Story Points: 6
Estimate: 5 hours
",Functional,Minor,Dashboard,Automated
VWO-00007,Verify JQuery Support : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that JQuery Support functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to JQuery Support section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-2255
Story Points: 4
Estimate: 6 hours
",Performance,Minor,Core,Automated
VWO-00008,Verify Device Targeting : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Device Targeting functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Device Targeting section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Revenue is tracked

Related Jira: VWO-4182
Story Points: 7
Estimate: 4 hours
",UX,Major,Core,Automated
VWO-00009,Verify Footer : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that Footer functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Footer section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-3908
Story Points: 10
Estimate: 6 hours
",Non-Functional,Minor,Security,Automated
VWO-00010,Verify Exit Intent : User is shows confirmation dialogs,"
Description:
As a VWO user
I want to verify that Exit Intent functionality works correctly
So that I can shows confirmation dialogs

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Exit Intent section
2. Perform action: shows confirmation dialogs
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-9935
Story Points: 7
Estimate: 7 hours
",Non-Functional,Minor,Analytics,Automated
VWO-00011,Verify User Consent : User is able to create new campaign,"
Description:
As a VWO user
I want to verify that User Consent functionality works correctly
So that I can able to create new campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to User Consent section
2. Perform action: able to create new campaign
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-5703
Story Points: 3
Estimate: 1 hours
",UX,Blocker,Analytics,Automated
VWO-00012,Verify Campaign Create : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that Campaign Create functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Campaign Create section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Campaign is created and saved

Related Jira: VWO-2293
Story Points: 2
Estimate: 7 hours
",UX,Critical,Mobile,Manual
VWO-00013,Verify Campaign Archive : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Campaign Archive functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Campaign Archive section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-4047
Story Points: 13
Estimate: 6 hours
",Integration,Blocker,Dashboard,Automated
VWO-00014,Verify Move Maps : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that Move Maps functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Move Maps section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-6301
Story Points: 6
Estimate: 4 hours
",Functional,Trivial,Performance,Manual
VWO-00015,Verify Single Page App : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Single Page App functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Single Page App section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-4179
Story Points: 7
Estimate: 7 hours
",Performance,Trivial,Security,Manual
VWO-00016,Verify EU Compliance : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that EU Compliance functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to EU Compliance section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-2536
Story Points: 10
Estimate: 7 hours
",Security,Blocker,Editor,Manual
VWO-00017,Verify API Integration : User is successfully handles high traffic,"
Description:
As a VWO user
I want to verify that API Integration functionality works correctly
So that I can successfully handles high traffic

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to API Integration section
2. Perform action: successfully handles high traffic
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-9244
Story Points: 6
Estimate: 5 hours
",Performance,Minor,Performance,Automated
VWO-00018,Verify Infinite Scroll : User is properly handles network errors,"
Description:
As a VWO user
I want to verify that Infinite Scroll functionality works correctly
So that I can properly handles network errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Infinite Scroll section
2. Perform action: properly handles network errors
3. Verify the result

Expected Result: Error message is displayed

Related Jira: VWO-4412
Story Points: 10
Estimate: 3 hours
",Integration,Trivial,Core,Automated
VWO-00019,Verify Heatmaps : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that Heatmaps functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Heatmaps section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-1294
Story Points: 1
Estimate: 2 hours
",Performance,Major,Dashboard,Manual
VWO-00020,Verify Preview Mode : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Preview Mode functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Preview Mode section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-4386
Story Points: 2
Estimate: 8 hours
",Security,Major,Security,Automated
VWO-00021,Verify SSO Login : User is correctly displays dashboard,"
Description:
As a VWO user
I want to verify that SSO Login functionality works correctly
So that I can correctly displays dashboard

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to SSO Login section
2. Perform action: correctly displays dashboard
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-5314
Story Points: 5
Estimate: 3 hours
",Regression,Critical,Dashboard,Automated
VWO-00022,Verify Subscription : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that Subscription functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Subscription section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: User is logged in successfully

Related Jira: VWO-7298
Story Points: 8
Estimate: 7 hours
",Integration,Critical,Performance,Manual
VWO-00023,Verify Primary Goal : User is correctly displays heatmap data,"
Description:
As a VWO user
I want to verify that Primary Goal functionality works correctly
So that I can correctly displays heatmap data

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Primary Goal section
2. Perform action: correctly displays heatmap data
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-2055
Story Points: 9
Estimate: 2 hours
",Functional,Major,Core,Automated
VWO-00024,Verify Popups : User is able to invite team members,"
Description:
As a VWO user
I want to verify that Popups functionality works correctly
So that I can able to invite team members

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Popups section
2. Perform action: able to invite team members
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-3353
Story Points: 7
Estimate: 5 hours
",Functional,Critical,Dashboard,Automated
